"If my boyfriend was killed, at that time I want to kill that person.",this sentence has a tense error,this sentence has a noun phrase error
,,
"Today's topic is, if the world ending tomorrow, what do you do today.",this sentence has a tense error,this sentence has a tense error
,,
"If I were you, I go to church and pray for God, ""give me one more day.""",this sentence has a tense error,this sentence has a noun phrase error
,,
"If I like foreigners, I will not care to marry her.",this sentence has a tense error,this sentence has a tense error
,,
"If I can't communicate with her, I will not become to like her.",this sentence has a tense error,this sentence has a tense error
,,
"If you get rape a Chinese girl, you get a hundred dollars.",this sentence has a tense error,this sentence has a tense error
,,
"If we came to the U.S. for the purpose of sight-seeing, we are trying to speak English.",this sentence has a tense error,this sentence has a tense error
,,
"If my mother or my grandma had an experience about what you said, my mother or my grandma don't answer.",this sentence has a tense error,this sentence has a tense error
,,
"If the world would end tomorrow, I wouldn't care the money.",this sentence has a tense error,this sentence has a tense error
,,
Our topic was that what we will do if the world will be ending.,this sentence has a tense error,this sentence has a tense error
,,
"If I telled you go outside, you have to do it.",this sentence has a tense error,this sentence has a tense error
,,
"If a couple work, men had to work harder than woman.",this sentence has a tense error,this sentence has a tense error
,,
If I was her I can meet Tom Cruise everyday.,this sentence has a tense error,this sentence has a noun phrase error
,,
"I heard from my friend, if I say to the police some trial the cost would be free.",this sentence has a tense error,this sentence has a tense error
,,
"If there are many high school such as this high school, maybe the abortion may decrease.",this sentence has a tense error,this sentence has a tense error
,,
I can't sleep if I didn't do my homework.,this sentence has a tense error,this sentence has a noun phrase error
,,
"If you worked very hard, what do you do?",this sentence has a tense error,this sentence has a tense error
,,
"If I have ugly face, I can live a long time . . .",this sentence has a tense error,this sentence has a tense error
,,
"I don't want live so long time, if I have ugly face.",this sentence has a tense error,this sentence has a tense error
,,
"If I don't have talent, and I have ugly face, I can't do anything.",this sentence has a tense error,this sentence has a tense error
,,
"If we eat lots of fiber, we are not suffering from constipation.",this sentence has a tense error,this sentence has a tense error
,,
"If I had the strong will, I can quit.",this sentence has a tense error,this sentence has a tense error
,,
"If you had not worn your uniform, did you stop?",this sentence has a tense error,this sentence has a tense error
,,
"If they put a tag indicating ""Made in China,"" consumers don't buy?",this sentence has a tense error,this sentence has a tense error
,,
"If I had children, I stay home until children is 12 years old.",this sentence has a tense error,this sentence has a tense error
,,
"If he marry in the future, he doesn't care if his wife get a job or not.",this sentence has a tense error,this sentence has a noun phrase error
,,
"Even though they meet some American people, if they are two, they spoke Korean.",this sentence has a tense error,this sentence has a noun phrase error
,,
"If some Japanese is together, they started to speak Japanese.",this sentence has a tense error,this sentence has a tense error
,,
"If monkey got AIDS, then he didn't die.",this sentence has a tense error,this sentence has a noun phrase error
,,
"If the person who is AIDS took that medicine, his AIDS will get better.",this sentence has a tense error,this sentence has a tense error
,,
They have some sick we will die if we have that sick.,this sentence has a tense error,this sentence has a noun phrase error
,,
"If the husband quit the job, what happen?",this sentence has a tense error,this sentence has a tense error
,,
"If I divorce, and my children want to meet my husband, I let my children meet him.",this sentence has a tense error,this sentence has a noun phrase error
,,
"If I found there is no reason to divorce, I will not do it.",this sentence has a tense error,this sentence has a tense error
,,
"If execution doesn't exist, I think the criminal increase.",this sentence has a tense error,this sentence has a tense error
,,
"If somebody kill your family, what will you do?",this sentence has a tense error,this sentence has a noun phrase error
,,
"If she went to here, our relationship became to long distance love.",this sentence has a tense error,this sentence has a tense error
,,
"If I have a baby, I will do abortion.",this sentence has a tense error,this sentence has a tense error
,,
"If it is my mistake, anyway, I will do abortion.",this sentence has a tense error,this sentence has a tense error
,,
"If one of my family is euthanasia, I agree.",this sentence has a tense error,this sentence has a tense error
,,
Is character on the movie 'Despicable Me'.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
My first one brother in England.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
Almost Japanese people like fashion.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
Is ball.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
I did homework much.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
They had problem in the homestay.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
The police and anybody in Paris couldn't know who this two guys.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
It's very interesting story.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
That rum was on the fourth floors.,this sentence has a noun phrase error,this sentence contains no errors
,,
Someone met another pairson in book shop maybe.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
A murder escape.,this sentence has a noun phrase error,this sentence contains no errors
,,
The windows was locked from inside so they just thinking about who is killed them and why.,this sentence has a noun phrase error,this sentence has a tense error
,,
Media make person famous or not?,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
One mother and her dow-ter live in the four florr.,this sentence has a noun phrase error,this sentence has a subject verb agreement error
,,
This is story about one very smart young man who name DuPin.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
One day read in the newspaper about mystery.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
Media helps most popular player become famous.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
Especially in Arabs countries most of that problems we watch it on TV.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
There are two coractairs.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
The televisions they show what they want to show people.,this sentence has a noun phrase error,this sentence has a tense error
,,
"I use internet same as Miki, Aroob, and Muath. The for I'm not using TV. It's sad.",this sentence has a noun phrase error,this sentence has a noun phrase error
,,
It was the interesting story because nobody is know what happens.,this sentence has a noun phrase error,this sentence has a subject verb agreement error
,,
Only two times in my life I listen to radio.,this sentence has a noun phrase error,this sentence has a tense error
,,
I think we shouldn't believe all of contents about news. I don’t know if all things correct.,this sentence has a noun phrase error,this sentence has a tense error
,,
Newspaper cannot die.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
You should not believe anything the newspaper or channel news say.,this sentence has a noun phrase error,this sentence contains no errors
,,
The media affect the audience and have big role for that.,this sentence has a noun phrase error,this sentence has a subject verb agreement error
,,
The story tell me about mystery.,this sentence has a noun phrase error,this sentence has a tense error
,,
We don't have movie theater. We were talking about the mass media or dangerous things.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
He meet with him in the shop book and was live in Paris.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
The room has four floor.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
The same test but different names.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
I think not all the student to take TOEFL.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
They have some difference in high school education.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
In general what is most popular major in your country?,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
Private school have English from elementary.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
First they give you test. I got good grade. They accept people who has less grade.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
"It's really bad, bad system.",this sentence has a noun phrase error,this sentence has a noun phrase error
,,
Why do we have the test that looks like IELTs or SAT?,this sentence has a noun phrase error,this sentence has a tense error
,,
Before five years or six years we have entrance exam.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
We are at 18 years old.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
He asked everyone talk about exercise system in your country.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
"Go to gym or track, just that things.",this sentence has a noun phrase error,this sentence has a tense error
,,
It's one of the reason.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
I see people the first day in gym they go highest weight.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
"There is natural supplements like protein, vitamin.",this sentence has a noun phrase error,this sentence has a subject verb agreement error
,,
Some supplements raise the risk like heart attacks.,this sentence has a noun phrase error,this sentence contains no errors
,,
You don't have to be special place like gym.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
It burn high calorie!,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
I go to gym and do karate.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
That took most hours of my day!,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
"After you get a surgery, it help.",this sentence has a noun phrase error,this sentence has a tense error
,,
"In relationship, men always say they are sorry.",this sentence has a noun phrase error,this sentence has a tense error
,,
I think it's nice culture.,this sentence has a noun phrase error,this sentence has a noun phrase error
,,
"If a person kill someone, he may receive death penalty.",this sentence has a subject verb agreement error,this sentence has a tense error
,,
Seeing movies are a lot of fun.,this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
My more often nightmares is that I'm in the mountains.,this sentence has a subject verb agreement error,this sentence contains no errors
,,
"If she want children, he will be follow her opinion.",this sentence has a subject verb agreement error,this sentence has a subject verb agreement error
,,
He don't want to think about his problem.,this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
Daniel want to buy new car and house.,this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
"We need to know why is AIDS, because gay is human and also need love.",this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
"I think he have many talent, even if he didn't have academic progress.",this sentence has a subject verb agreement error,this sentence has a tense error
,,
She want to stay my home!,this sentence has a subject verb agreement error,this sentence has a tense error
,,
"Half of the rest money, he will contribute for the student who don't have enough money.",this sentence has a subject verb agreement error,this sentence has a subject verb agreement error
,,
"Even if I has not finished my career, I will be able to get a job.",this sentence has a subject verb agreement error,this sentence has a tense error
,,
"If you over about 35, every Thai guy like traditional sport.",this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
"If you need to quit smoking, there is a lot of centers.",this sentence has a subject verb agreement error,this sentence has a tense error
,,
"Don't like food is Sultan, don't eat vegetable",this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
Anything he don't eat,this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
"If you overweight, everybody look at you.",this sentence has a subject verb agreement error,this sentence has a tense error
,,
"If he go to jail, he will just feel guilty.",this sentence has a subject verb agreement error,this sentence has a tense error
,,
"If she on business, and she use another cell phone, distance call.",this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
My school's students was very surprised.,this sentence has a subject verb agreement error,this sentence has a tense error
,,
Do you country have queen?,this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
"In here, nobody wear high heel.",this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
"In my country, nobody ask question.",this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
There is no bath tub.,this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
"He said that when he make friends, he feel kind of not comfortable.",this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
"Ali talk about, I think, backgrounds of the people.",this sentence has a subject verb agreement error,this sentence has a tense error
,,
"Good experience affect your action in present, right?",this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
She know fashion is not good.,this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
Some patient is more peaceful inside.,this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
"I don't want to say this right, but I want to say this depend on different people.",this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
He told Russian president his country have a bomb.,this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
She need to know to respect to the people.,this sentence has a subject verb agreement error,this sentence has a noun phrase error
,,
Even he ask you why did you do that?,this sentence has a subject verb agreement error,this sentence has a tense error
